event,year,character,value,rate,type,count
Hepatitis A,2021,Area,Connecticut,0.3,Case,11
Hepatitis A,2022,Area,Connecticut,0.1,Case,5
Hepatitis A,2023,Area,Connecticut,0.1,Case,2
Hepatitis A,2011,Area,Delaware,0.2,Case,2
Hepatitis A,2012,Area,Delaware,1,Case,9
Hepatitis A,2013,Area,Delaware,0.4,Case,4
Hepatitis A,2014,Area,Delaware,0.1,Case,1
Hepatitis A,2015,Area,Delaware,0.2,Case,2
Hepatitis A,2016,Area,Delaware,0.1,Case,1
Hepatitis A,2017,Area,Delaware,0.6,Case,6
Hepatitis A,2018,Area,Delaware,0.7,Case,7
Hepatitis A,2019,Area,Delaware,3.7,Case,36
Hepatitis A,2020,Area,Delaware,2.8,Case,28
Hepatitis A,2021,Area,Delaware,0.9,Case,9
Hepatitis A,2022,Area,Delaware,1.2,Case,12
Hepatitis A,2023,Area,Delaware,1.3,Case,13
Hepatitis A,2011,Area,District of Columbia,NA,Case,NA
Hepatitis A,2012,Area,District of Columbia,NA,Case,NA
Hepatitis A,2013,Area,District of Columbia,NA,Case,NA
Hepatitis A,2014,Area,District of Columbia,NA,Case,NA
Hepatitis A,2015,Area,District of Columbia,NA,Case,NA
Hepatitis A,2016,Area,District of Columbia,0.6,Case,4
Hepatitis A,2017,Area,District of Columbia,0.4,Case,3
Hepatitis A,2018,Area,District of Columbia,1.6,Case,11
Hepatitis A,2019,Area,District of Columbia,2.1,Case,15
Hepatitis A,2020,Area,District of Columbia,1,Case,7
Hepatitis A,2021,Area,District of Columbia,NA,Case,NA
Hepatitis A,2022,Area,District of Columbia,0.6,Case,4
Hepatitis A,2023,Area,District of Columbia,1.3,Case,9
Hepatitis A,2011,Area,Florida,0.5,Case,87
Hepatitis A,2012,Area,Florida,0.5,Case,87
Hepatitis A,2013,Area,Florida,0.6,Case,115
Hepatitis A,2014,Area,Florida,0.5,Case,90
Hepatitis A,2015,Area,Florida,0.5,Case,108
Hepatitis A,2016,Area,Florida,0.6,Case,115
Hepatitis A,2017,Area,Florida,1.2,Case,261
Hepatitis A,2018,Area,Florida,2.6,Case,548
Hepatitis A,2019,Area,Florida,15.8,Case,NA
Hepatitis A,2020,Area,Florida,4.7,Case,NA
Hepatitis A,2021,Area,Florida,0.9,Case,203
Hepatitis A,2022,Area,Florida,1.4,Case,319
Hepatitis A,2023,Area,Florida,0.4,Case,100
Hepatitis A,2011,Area,Georgia,0.3,Case,27
Hepatitis A,2012,Area,Georgia,0.5,Case,46
Hepatitis A,2013,Area,Georgia,0.4,Case,36
Hepatitis A,2014,Area,Georgia,0.2,Case,24
Hepatitis A,2015,Area,Georgia,0.3,Case,30
Hepatitis A,2016,Area,Georgia,0.4,Case,44
Hepatitis A,2017,Area,Georgia,0.2,Case,24
Hepatitis A,2018,Area,Georgia,0.8,Case,84
Hepatitis A,2019,Area,Georgia,7.9,Case,844
Hepatitis A,2020,Area,Georgia,5.5,Case,588
Hepatitis A,2021,Area,Georgia,3.6,Case,389
Hepatitis A,2022,Area,Georgia,2,Case,217
Hepatitis A,2023,Area,Georgia,0.3,Case,34
Hepatitis A,2011,Area,Hawaii,0.6,Case,8
Hepatitis A,2012,Area,Hawaii,0.4,Case,5
Hepatitis A,2013,Area,Hawaii,1.1,Case,16
Hepatitis A,2014,Area,Hawaii,0.4,Case,5
Hepatitis A,2015,Area,Hawaii,0.4,Case,6
Hepatitis A,2016,Area,Hawaii,20,Case,285
Hepatitis A,2017,Area,Hawaii,0.6,Case,8
Hepatitis A,2018,Area,Hawaii,0.3,Case,4
Hepatitis A,2019,Area,Hawaii,0.1,Case,1
Hepatitis A,2020,Area,Hawaii,0.6,Case,8
Hepatitis A,2021,Area,Hawaii,0.3,Case,4
Hepatitis A,2022,Area,Hawaii,0.2,Case,3
Hepatitis A,2023,Area,Hawaii,0.1,Case,2
Hepatitis A,2011,Area,Idaho,0.4,Case,6
Hepatitis A,2012,Area,Idaho,0.7,Case,11
Hepatitis A,2013,Area,Idaho,0.5,Case,8
Hepatitis A,2014,Area,Idaho,0.4,Case,7
Hepatitis A,2015,Area,Idaho,0.5,Case,9
Hepatitis A,2016,Area,Idaho,0.4,Case,7
Hepatitis A,2017,Area,Idaho,0.2,Case,4
Hepatitis A,2018,Area,Idaho,0.3,Case,5
Hepatitis A,2019,Area,Idaho,4.2,Case,75
Hepatitis A,2020,Area,Idaho,1.1,Case,21
Hepatitis A,2021,Area,Idaho,0.4,Case,8
